Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;denominazione_pe;insegna;superficie_somministrazione;CAP;ID_NIL;NIL;MUNICIPIO;LONG_WGS84;LAT_WGS84;Location
PE/26068;Via ROMILLI ARCIVESCOVO N. 26 (z.d. 5);SOMMINISTRAZIONE - In piano;Via ROMILLI ARCIVESCOVO;26;4154.0;h - Wine bar, birreria, pub enoteche, caffetteria, sala da te e simili;;33.0;20139.0;36.0;SCALO ROMANA;5.0;9.21595797807;45.4378307295;45.4378307295, 9.21595797807
PE/26069;Via APOLLINARE (SANT') N. 2 (z.d. 7);SOMMINISTRAZIONE - In piano;Via APOLLINARE (SANT');2;6779.0;e - Bar gastronomici e simili|f - Bar caffè e simili|g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;51.0;20152.0;55.0;BAGGIO;7.0;9.09556169469;45.4602471718;45.4602471718, 9.09556169469
C-PE/22064;Via PERTICARI GIULIO N. 2| isolato:229| accesso: accesso esterno| (z.d. 2);SOMMINISTRAZIONE - In piano;Via PERTICARI GIULIO;2;2383.0;;;87.0;20127.0;19.0;PADOVA;2.0;9.2384554058;45.5027943558;45.5027943558, 9.2384554058
PE/25447;Via FUMAGALLI ANGELO CARLO N. 1 (z.d. 6);SOMMINISTRAZIONE - In piano;Via FUMAGALLI ANGELO CARLO;1;5149.0;a - Ristorante, trattoria, osteria con cucina e simili;;174.0;20143.0;44.0;NAVIGLI;6.0;9.16992621839;45.4503244855;45.4503244855, 9.16992621839
PE/25448;Corso GARIBALDI GIUSEPPE N. 12 (z.d. 1);SOMMINISTRAZIONE - In piano;Corso GARIBALDI GIUSEPPE;12;1010.0;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;95.0;20121.0;2.0;BRERA;1.0;9.18391344921;45.4727175389;45.4727175389, 9.18391344921
PE/25379;Via VALVASSORI PERONI CARLO N. 41 (z.d. 3);SOMMINISTRAZIONE - In piano;Via VALVASSORI PERONI CARLO;41;2580.0;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;120.0;20133.0;22.0;CITTA' STUDI;3.0;9.23644006637;45.4793300213;45.4793300213, 9.23644006637
PE/25432;Via PERINI CARLO N. 20 (z.d. 8);SOMMINISTRAZIONE - In piano;Via PERINI CARLO;20;7326.0;f - Bar caffè e simili;;11.0;20157.0;76.0;QUARTO OGGIARO;8.0;9.14239369154;45.5104400175;45.5104400175, 9.14239369154
PE/26005;Via STEPHENSON GIORGIO N. 55 (z.d. 8);SOMMINISTRAZIONE - In piano;Via STEPHENSON GIORGIO;55;7456.0;e - Bar gastronomici e simili|f - Bar caffè e simili;;36.0;20157.0;75.0;STEPHENSON;8.0;9.12472823117;45.5114383782;45.5114383782, 9.12472823117
PE/25059;VIA MOSCATI PIETRO N. 13 (z.d. 8);SOMMINISTRAZIONE - In piano;VIA MOSCATI PIETRO;13;7136.0;a - Ristorante, trattoria, osteria con cucina e simili;;113.0;20154.0;69.0;SARPI;8.0;9.17102114852;45.4802582984;45.4802582984, 9.17102114852
PE/26127;Via MARCO AURELIO N. 2 (civico 2n01) (z.d. 2);SOMMINISTRAZIONE - In piano;Via MARCO AURELIO;2;2298.0;f - Bar caffè e simili|g - Bar pasticceria, bar gelateria, cremeria, creperia e simili|e - Bar gastronomici e simili;;45.0;20127.0;20.0;LORETO;2.0;9.22133871524;45.4906937377;45.4906937377, 9.22133871524
PE/25504;Via CELLINI BENVENUTO N. 1 (z.d. 4);SOMMINISTRAZIONE - In piano;Via CELLINI BENVENUTO;1;3081.0;a - Ristorante, trattoria, osteria con cucina e simili;;97.0;20129.0;26.0;XXII MARZO;4.0;9.20871687731;45.4625276164;45.4625276164, 9.20871687731
PE/25536;Via BAMBAIA N. 6 (z.d. 2);SOMMINISTRAZIONE - In piano;Via BAMBAIA;6;2278.0;a - Ristorante, trattoria, osteria con cucina e simili;;24.0;20131.0;20.0;LORETO;2.0;9.21897669964;45.4872028538;45.4872028538, 9.21897669964
PE/25698;Piazza ARGENTINA N. 3 (z.d. 3);SOMMINISTRAZIONE - In piano;Piazza ARGENTINA;3;2233.0;f - Bar caffè e simili;;48.0;20124.0;21.0;BUENOS AIRES - VENEZIA;3.0;9.21445980938;45.484301327;45.484301327, 9.21445980938
PE/25811;Via CRESPI DANIELE N. 14 (z.d. 1);SOMMINISTRAZIONE - In piano;Via CRESPI DANIELE;14;5162.0;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;56.0;20123.0;7.0;MAGENTA - S. VITTORE;1.0;9.1734671915;45.4569204854;45.4569204854, 9.1734671915
PE/25942;Via RIPAMONTI GIUSEPPE N. 190 (z.d. 5);SOMMINISTRAZIONE - In piano;Via RIPAMONTI GIUSEPPE;190;4066.0;e - Bar gastronomici e simili;;8.0;20141.0;38.0;RIPAMONTI;5.0;9.20103023676;45.4329812948;45.4329812948, 9.20103023676
PE/25944;Viale BRIANZA N. 28 (z.d. 2);SOMMINISTRAZIONE - In piano;Viale BRIANZA;28;2263.0;e - Bar gastronomici e simili;;27.0;20127.0;20.0;LORETO;2.0;9.2110516828016;45.4888564764189;45.4888564764189, 9.2110516828016
PE/25947;VIA PONALE N. 66 (z.d. 9);SOMMINISTRAZIONE - In piano;VIA PONALE;66;1616.0;e - Bar gastronomici e simili;;55.0;20162.0;14.0;NIGUARDA - CA' GRANDA;9.0;9.20609503853;45.5235505787;45.5235505787, 9.20609503853
PE/24922;Via ANDREOLI DON GIUSEPPE N. 3 (z.d. 9);SOMMINISTRAZIONE - In piano;Via ANDREOLI DON GIUSEPPE;3;1467.0;a - Ristorante, trattoria, osteria con cucina e simili|e - Bar gastronomici e simili|f - Bar caffè e simili;;120.0;20158.0;77.0;BOVISA;9.0;9.16376238704;45.5040211711;45.5040211711, 9.16376238704
